game_id,title,url,video_id,channel,duration,view_count,like_count,comment_count
22500245,Charlotte Hornets vs Toronto Raptors Full Game Highlights | Nov 17 | 2026 NBA Season,https://www.youtube.com/watch?v=n6LTgSZCGWI,n6LTgSZCGWI,Hooper Highlights,597,1870,74,2.0
22500245,"Toronto Raptors vs Charlotte Hornets - 4K FULL GAME HIGHLIGHTS | November 17, 2025 NBA Season",https://www.youtube.com/watch?v=Wiq2EJwMIxM,Wiq2EJwMIxM,Ximo Pierto,568,3188,75,5.0
22500245,Charlotte Hornets vs Toronto Raptors | Full Game Highlights | November 17 | 2025-26 NBA Season,https://www.youtube.com/watch?v=mp2MM1kJ0G0,mp2MM1kJ0G0,The CCB Network,615,15510,176,6.0
22500238,"Dallas Mavericks vs Portland Trail Blazers - FULL GAME HIGHLIGHTS | November 16, 2025 NBA Season",https://www.youtube.com/watch?v=QQvi_FSLvnM,QQvi_FSLvnM,Ximo Pierto,575,9106,158,8.0
22500238,Dallas Mavericks vs Portland Trail Blazers Full Game Highlights | Nov 16 | 2026 NBA Season,https://www.youtube.com/watch?v=ptaHk9Rj8iQ,ptaHk9Rj8iQ,Hooper Highlights,598,3917,137,7.0
22500238,Cooper Flagg MAKES HISTORY | Dallas Mavericks Team Highlights vs the Trail Blazers (11/16/2025),https://www.youtube.com/watch?v=Zmzj_A37AyQ,Zmzj_A37AyQ,PandaHank41,601,28718,333,69.0
22500234,"San Antonio Spurs vs Sacramento Kings - FULL GAME HIGHLIGHTS | November 16, 2025 NBA Season",https://www.youtube.com/watch?v=QYgcJYHiOVY,QYgcJYHiOVY,Ximo Pierto,557,14257,230,22.0
22500234,San Antonio Spurs vs Sacramento Kings Full Game Highlights | Nov 16 | 2026 NBA Season,https://www.youtube.com/watch?v=M8aTzFla5NA,M8aTzFla5NA,Hooper Highlights,596,4249,129,3.0
22500234,San Antonio Spurs vs Sacramento Kings 4th Qtr Nov 16. 2025 Highlights | NBA highlight,https://www.youtube.com/watch?v=pTE3CKf5ljk,pTE3CKf5ljk,Mây Trắng Review,572,2619,8,
22500043,"Milwaukee Bucks vs Charlotte Hornets Full Game Highlights - November 14, 2025 | NBA Season",https://www.youtube.com/watch?v=qTtUQTVN7yc,qTtUQTVN7yc,GAMETIME HIGHLIGHTS,580,162683,1666,168.0
